height,found_at,value,pool_scoring_hashrate_ghps,user_scoring_hashrate_ghps,user_reward
738383,2022-05-29 06:49:16,6.26355339,13183000373.10934,1817586.907996722,0.00085120
738391,2022-05-29 07:55:26,6.29305111,13029788285.494568,1815647.5548336846,0.00086437
738424,2022-05-29 12:17:34,6.30161141,13109875946.708801,1811082.5737948043,0.00085804
738432,2022-05-29 13:56:56,6.29327683,13128910061.619146,1825511.9242280931,0.00086255
738441,2022-05-29 15:31:00,6.26290399,13063192891.078253,1828983.8563430947,0.00086431
738459,2022-05-29 17:29:48,6.32111211,12888792661.735878,1823701.622438237,0.00088165
738523,2022-05-30 04:10:31,6.34766113,13043935223.751362,1821967.3115843977,0.00087393
738573,2022-05-30 12:52:33,6.45185043,13186132716.892616,1819510.423323915,0.00087758
738577,2022-05-30 13:11:15,6.30269979,13219369032.564207,1824589.0304113848,0.00085753
738582,2022-05-30 14:11:03,6.42725195,13362574852.791834,1817848.7667199722,0.00086190
738614,2022-05-30 18:58:19,6.39735885,12736063324.771534,1833791.8927275431,0.00090795
738648,2022-05-31 00:34:55,6.25574515,12820719415.65645,1828870.7694325373,0.00087956
738655,2022-05-31 01:53:39,6.25056481,13035264724.900904,1812630.4979485879,0.00085686
738696,2022-05-31 09:39:26,6.42644665,12889634301.874144,1811251.4923709333,0.00089010
738760,2022-05-31 19:56:59,6.44301792,12843139889.526377,1830741.262838188,0.00090536
738794,2022-06-01 00:31:58,6.27697482,12692769166.941298,1816848.2866892936,0.00088560
738827,2022-06-01 05:21:15,6.27467588,13153411047.356308,1818275.5467217665,0.00085491
738838,2022-06-01 07:19:11,6.32219785,12987704536.874071,1816440.365342123,0.00087149
738844,2022-06-01 08:21:51,6.57968300,13238621812.737692,1813362.4141828783,0.00088840
738851,2022-06-01 11:17:08,6.45976770,13162266981.227161,1817637.261465452,0.00087929
738856,2022-06-01 11:37:17,6.38441502,13164204810.816368,1802288.982199408,0.00086154
